Code,Condition,Image id ,Subject's answer,Reaction time
U6IRj91KzC,2,4,violin,5.063
Gh5Ww9IiRL,1,1,dog  ,4.128
S5sLHBUlOP,1,3,Van,3.04
2HTbePYLEi,1,1,rhino  ,4.585
Gh5Ww9IiRL,1,2,car?,6.717
U6IRj91KzC,2,5,piano,9.062
2HTbePYLEi,1,2,rabbit,4.025
uVJpsSNw5a,1,1,panda  ,3.818
Xou9Mu4jm3,2,1,cat  ,4.316
U6IRj91KzC,2,6,fan,3.767
Gh5Ww9IiRL,1,3,ambulance,6.571
uVJpsSNw5a,1,2,airplane,3.221
S5sLHBUlOP,1,4,Volkswagen bus,12.87
2HTbePYLEi,1,3,ambulance,4.152
fNiwr8JtEM,6,7,none  ,35.298
Xou9Mu4jm3,2,2,boy,4.683
R1pStMH9Mu,2,1,  Rat?,10.484
uVJpsSNw5a,1,3,ambulence,3.267
2HTbePYLEi,1,4,van,3.261
U6IRj91KzC,2,7,motorcycle,8.927
S5sLHBUlOP,1,5,Barn,5.485
Xou9Mu4jm3,2,3,None,5.173
Gh5Ww9IiRL,1,4,yellow vw bus,9.801
2HTbePYLEi,1,5,barn,2.736
uVJpsSNw5a,1,4,Vw bus,4.063
U6IRj91KzC,2,8,piano,4.198
fNiwr8JtEM,6,8,a wheel ,11.473
S5sLHBUlOP,1,6,Banana,4.341
uVJpsSNw5a,1,5,barn,2.783
Xou9Mu4jm3,2,4,None,2.472
R1pStMH9Mu,2,2,Boy drinking water,6.841
2HTbePYLEi,1,6,banana,3.634
fNiwr8JtEM,6,9,none  ,3.827
S5sLHBUlOP,1,7,Car,3.552
Xou9Mu4jm3,2,5,None,2.291
U6IRj91KzC,2,9,fish,6.519
uVJpsSNw5a,1,6,Baby and banana,3.94
2HTbePYLEi,1,7,car,2.85
S5sLHBUlOP,1,8,Eagle,2.571
uVJpsSNw5a,1,7,Apple and car,4.13
2HTbePYLEi,1,8,eagle,3.49
Xou9Mu4jm3,2,6,Tower,6.215
U6IRj91KzC,2,10,iron,6.608
Gh5Ww9IiRL,1,5,brown house/shed,19.778
R1pStMH9Mu,2,3,Parachute? Hot air balloon?,12.973
9rNMQEKnSf,2,1,  bird,4.72
S5sLHBUlOP,1,9,Bridge,5.857
uVJpsSNw5a,1,8,Eagle and sun,4.099
2HTbePYLEi,1,9,bridge,4.252
Xou9Mu4jm3,2,7,Man,5.153
U6IRj91KzC,2,11,jug,5.375
4eVZeg3b2q,1,1,koala  ,5.821
OvgOkJNoHQ,2,1,"  box

",14.522
R1pStMH9Mu,2,4,Statue of liberty,6.212
S5sLHBUlOP,1,10,Crab,6.383
9rNMQEKnSf,2,2,child eating a popsicle,8.072
IPSmg33pqo,2,1,Dog  ,4.491
2HTbePYLEi,1,10,painting,4.669
Xou9Mu4jm3,2,8,None,3.778
aQ5YCTBwwj,2,1, none,7.015
U6IRj91KzC,2,12,chicken,4.351
uVJpsSNw5a,1,9,Bridge and something,9.036
Gh5Ww9IiRL,1,6,baby and banana,13.823
4eVZeg3b2q,1,2,airplane,2.921
IPSmg33pqo,2,2,Car,3.251
OvgOkJNoHQ,2,2,person in nature,5.018
9rNMQEKnSf,2,3,flamingo,3.758
2HTbePYLEi,1,11,parrot,3.547
Xou9Mu4jm3,2,9,Tiger,4.276
R1pStMH9Mu,2,5,Typewriter,4.953
ty74teNwOF,1,1,  ram,12.087
TV09zAwx62,2,1,bird  ,7.065
S5sLHBUlOP,1,11,Parrot,7.448
4eVZeg3b2q,1,3,ambulance,3.56
U6IRj91KzC,2,13,window,5.239
Gh5Ww9IiRL,1,7,tennis ball and car,4.861
uVJpsSNw5a,1,10,I think it was a cat,5.576
J2Pb1ffPKk,2,1,  none,17.494
gITbDtIaGj,1,1,  rabbit,7.23
JvgsI3Y3sf,1,1,panda  ,7.097
a2lZIzRgKN,2,1,  BIRD AND CLOCK,5.74
OvgOkJNoHQ,2,3,fish,4.087
IPSmg33pqo,2,3,Bulldog,4.77
2HTbePYLEi,1,12,desk,3.982
Xou9Mu4jm3,2,10,None,4.614
9rNMQEKnSf,2,4,building,5.46
R1pStMH9Mu,2,6,Fan,4.424
4eVZeg3b2q,1,4,vw van,3.899
U6IRj91KzC,2,14,bus,3.639
uVJpsSNw5a,1,11,parrot,3.272
ty74teNwOF,1,2,squirrel,6.071
OvgOkJNoHQ,2,4,statue,3.224
Zl847gjMmg,2,1,none  ,12.618
S5sLHBUlOP,1,12,Food,7.085
Xou9Mu4jm3,2,11,None,3.336
4eVZeg3b2q,1,5,barn,2.114
JvgsI3Y3sf,1,2,plane,4.904
U6IRj91KzC,2,15,dog,2.663
IPSmg33pqo,2,4,Deer,4.87
uVJpsSNw5a,1,12,fish,3.094
J2Pb1ffPKk,2,2,boy,5.878
9rNMQEKnSf,2,5,typewriter,5.468
R1pStMH9Mu,2,7,Man?,5.024
gITbDtIaGj,1,2,squirrel,8.927
2HTbePYLEi,1,13,scorpion,8.369
Gh5Ww9IiRL,1,8,pizza and eagle,8.45
Xou9Mu4jm3,2,12,None,2.387
OvgOkJNoHQ,2,5,none,4.819
4eVZeg3b2q,1,6,baby,4.32
S5sLHBUlOP,1,13,None,4.983
U6IRj91KzC,2,16,fence,3.598
Zl847gjMmg,2,2,boy,5.968
9rNMQEKnSf,2,6,fan,2.66
JvgsI3Y3sf,1,3,truck,4.639
Xou9Mu4jm3,2,13,None,2.733
Gh5Ww9IiRL,1,9,bridge,4.026
uVJpsSNw5a,1,13,Grasshopper and telephone,5.908
TV09zAwx62,2,2,little boy sticking out his tongue.,21.237
OvgOkJNoHQ,2,6,circle,3.554
ty74teNwOF,1,3,ambulance,5.725
2HTbePYLEi,1,14,falcon,5.211
IPSmg33pqo,2,5,Pizza,7.569
gITbDtIaGj,1,3,car,4.266
J2Pb1ffPKk,2,3,spider,6.695
R1pStMH9Mu,2,8,Piano and champaigne glass,9.035
S5sLHBUlOP,1,14,Eagle,6.379
4eVZeg3b2q,1,7,tennis ball and a car,6.515
ZHXRN0TLd4,2,1,clock  ,5.07
Xou9Mu4jm3,2,14,Npone,3.516
JvgsI3Y3sf,1,4,old van,4.584
uVJpsSNw5a,1,14,bird,3.459
2HTbePYLEi,1,15,snake,2.707
Zl847gjMmg,2,3,hands,6.952
U6IRj91KzC,2,17,football player,4.775
Gh5Ww9IiRL,1,10,spaghetti and crab,6.242
IPSmg33pqo,2,6,Car tire,5.791
TV09zAwx62,2,3,Flamingo,6.679
S5sLHBUlOP,1,15,None,3.155
ty74teNwOF,1,4,VW bus,6.525
Xou9Mu4jm3,2,15,Tiger,2.745
OvgOkJNoHQ,2,7,picture ,8.83
4eVZeg3b2q,1,8,pizza and eagle,4.281
R1pStMH9Mu,2,9,Duck,5.006
U6IRj91KzC,2,18,snake,3.047
9rNMQEKnSf,2,7,porcelain bunny,13.543
2HTbePYLEi,1,16,balloon,5.394
JvgsI3Y3sf,1,5,shack,4.648
Gh5Ww9IiRL,1,11,parrot,3.614
ZHXRN0TLd4,2,2,a little blond boy,7.784
Xou9Mu4jm3,2,16,None,2.892
4eVZeg3b2q,1,9,bridge,3.185
IPSmg33pqo,2,7,Dog,3.866
S5sLHBUlOP,1,16,Hot air balloon,4.729
U6IRj91KzC,2,19,ant,3.111
J2Pb1ffPKk,2,4,building,13.212
R1pStMH9Mu,2,10,Bird,3.99
2HTbePYLEi,1,17,bird,3.394
Zl847gjMmg,2,4,steeple,10.818
OvgOkJNoHQ,2,8,brown,5.748
9rNMQEKnSf,2,8,piano,3.64
jd0XuzGjD9,1,1,Bear  ,3.608
uVJpsSNw5a,1,15,Snail and flower ,6.306
ty74teNwOF,1,5,old barn,5.846
TV09zAwx62,2,4,Statue of Liberty,7.894
g9xL0uQ8B0,1,1,ram  ,3.531
4eVZeg3b2q,1,10,none,2.919
Xou9Mu4jm3,2,17,None,2.688
IPSmg33pqo,2,8,Piano,3.279
U6IRj91KzC,2,20,truck,3.384
ZHXRN0TLd4,2,3,flamingo,6.203
2HTbePYLEi,1,18,barrel,3.209
Gh5Ww9IiRL,1,12,crib?,8.553
OvgOkJNoHQ,2,9,snail,3.498
4eVZeg3b2q,1,11,parrot,2.122
