,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,
PI3hbDwPfb,an animal  ,0,a semi,2,flamingo,2,violin,2,keyboard,2,whistle,2,fish,2,glass,0,duck,2,no idea,0,horse,2,tent,2,picture frame,2,no idea,0,no idea,0,grass,0,a picture,0,monkey,2,no idea,0,no idea,0,swing,2,badger,2,sink,0,soccer ball,2,orange,2,racoon,2,no idea,0,no idea,0,jet,2,car,2
cXnhBVwGGX,CAT  ,0,TRUCK,2,SWAM,2,VIOLIN,2,MAT,0,IMAGE,0,DOG,0,GLASS,0,DUCK,2,JAR,0,HORSE,2,CHURCH,2,BOOK,0,BUS,2,NONE,0,FRILLS,0,PAPER,0,MONKEY,2,RABBIT,2,SHIRT,0,COW,0,SUN,0,POT,0,BALL,2,LEMON,2,DOG,2,MIRROR,0,TREE,0,AIRPLANE,2,CAR,2
g22HOO6SwL,  none,0,bus,2,flamingo,2,violin,2,none,0,none,0,none,0,glass,0,duck,2,none,0,horse,2,tent,2,picture frame,2,bridge,0,none,0,none,0,none,0,gorilla,2,none,0,none,0,none,0,beaver,2,bell,2,soccer ball,2,none,0,squirrel,2,mountain,2,none,0,airplane,2,car,2
L4uviQYWLp,eyeball  ,0,none,0,swan,2,violin,2,none,0,none,0,none,0,none,0,Mallard Duck,0,toad,0,none,0,none,0,none,0,none,0,none,0,peacock,0,none,0,seal,2,none,0,none,0,none,0,none,0,none,0,none,0,none,0,none,0,none,0,none,0,none,0,none,0
0Oo7GZec6o,stone,0,"truck, mountainside",2,flamingo,2,violin,2,typewriter,2,whistle,2,shark,2,vase,2,duck,2,frog,0,horse,2,shack,2,picture frame,2,bridge over water,0,water,0,fan,0,shattered glass,0,monkey,2,,0,,,none,0,otter,2,bell,2,soccer ball,2,lemon slice,2,lemur,2,something furry,0,boat,2,airplane,2,convertible car,2
DrbyqQ98y2,none  ,0,truck,2,bird,2,guitar,2,none,0,rock,0,none,0,none,0,duck,2,none,0,bull,2,tent,2,none,0,bus,2,none,0,none,0,none,0,monkey,2,none,0,none,0,none,0,rat,2,bell,2,whistle,2,lemon,2,some animal,2,mountain ,2,none,0,plane,2,car,2
D4UDVOAkkQ,  none,0,none,0,bird,2,violin,2,none,0,none,0,meat,0,none,0,duck,2,none,0,couple,0,house,2,"ladder
",0,school bus,2,none,0,none,0,none,0,gorilla,2,none,0,none,0,woman,0,mouse or chipmunk,2,man,0,clown,0,chick,0,racoon,2,none,0,none,0,airplane,2,convertible car,2
e86wLnLuMx,  clock,2,truck,2,flamingo,2,violin,2,None,0,Whistle,2,Shark,2,Hourglass,2,Duck,2,None,0,Horse,2,Tent,2,Mirror,2,School Bus,2,Shark,0,Radiator,2,Lantern,0,Monkey,2,None,0,None,0,Swings,2,Guinea Pig,2,Bell,2,Phone,0,Lemons,2,Lemur,2,House,2,None,0,Airplane,2,Car,2
7eY76z8OKa,  clock,2,truck,2,flamingo,2,violin,2,words,0,whistle ,2,shark,2,hour glass,2,duck,2,fireman,0,horse,2,tent,2,frame,0,bus,2,none,0,none,0,mushroom,2,mokey,2,none,0,none,0,none,0,hamster,2,bell,2,whistle,2,lemon,2,lemur,2,hut,2,sailboat,2,plane,2,car,2
cn5XU1p3Jb,blank  ,0,truck,2,flamingo,2,violin,2,beads,0,banana,0,shark,2,snake,0,duck,2,eye,0,bears,0,forest,2,diamond,0,bear,0,snake,0,peacock,0,jellyfish,0,bear,2,flamonigo,0,pink,0,darkness,0,hamster,2,tube,0,soccer,2,orange,2,dog,2,fish,0,light,0,plane,2,car,2
